title,link,published,summary
Bitcoin phone home: Use crypto to buy sim cards in 140 countries with Bitrefill,https://cointelegraph.com/news/bitcoin-crypto-to-buy-sim-cards-in-140-countries-bitrefill,"Tue, 08 Aug 2023 13:55:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/8b9a6607-1510-4a41-9a89-a87942a2ae09.jpg"" /></p><p>Bitcoin and crypto travelers can bid farewell to telco woes with Bitrefill’s eSims, now available in 140 countries.</p>"
Binance sold USDC for BTC and ETH after Silvergate Bank collapse: PoR report,https://cointelegraph.com/news/binance-sold-usdc-for-btc-eth-silvergate-collapse,"Tue, 08 Aug 2023 10:04:05 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/493a4c89-edef-4438-9c65-f9715efaca22.jpg"" /></p><p>Binance’s depleting USDC reserves has become a hot topic in the crypto ecosystem, especially after Coinbase CEO’s quip during the company’s Q2 earning call.</p>"
Bitcoin bears ‘in control but exhausted’ as BTC price retakes $29K,https://cointelegraph.com/news/bitcoin-bears-control-exhausted-btc-price-29k,"Tue, 08 Aug 2023 09:38:35 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/6dea545e-571d-44d5-abdb-55e1b5a03e81.jpg"" /></p><p>Bitcoin stages a recovery toward a key resistance but fails to break through, and BTC price action is giving some cause for optimism.</p>"
Bitstamp crypto exchange to raise funds for global expansion: Report,https://cointelegraph.com/news/bitstamp-raises-funds-for-global-expansion,"Tue, 08 Aug 2023 09:37:31 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/adfb6e83-a678-4d9e-82f4-850af4c6036a.jpg"" /></p><p>One of the world’s oldest cryptocurrency exchanges, Bitstamp, is trying to scale its operations with new fundraising advised by Galaxy Digital.</p>"
"China’s risky Bitcoin court decision, is Huobi in trouble or not? Asia Express",https://cointelegraph.com/magazine/chinas-risky-bitcoin-court-decision-is-huobi-in-trouble-or-not-asia-express/,"Mon, 07 Aug 2023 23:35:26 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://cointelegraph.com/magazine/wp-content/uploads/2023/01/magazine-Asia-Express-Jan-20-scaled.jpeg"" /></p><p>Man loses $10M after Chinese court rules Bitcoin lending is not protected by law, loads of Web3 founders get arrested, and Huobi rumors swirl.</p>"
BlackRock’s misguided effort to create ‘Crypto for Dummies’,https://cointelegraph.com/news/blacks-misguided-crypto-dummies-etf,"Mon, 07 Aug 2023 23:00:44 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/cd036c51-cf4a-4ab7-b4e3-5c745637da14.jpg"" /></p><p>Crypto doesn’t need BlackRock’s Bitcoin ETF. It undermines the basic tenets of cryptocurrency — from banking the unbanked to reducing global oppression.</p>"
"Bitcoin funds see weekly outflows of $111M, most since March: CoinShares",https://cointelegraph.com/news/bitcoin-funds-weekly-outflows-111m-most-since-march-coin-shares,"Mon, 07 Aug 2023 22:00:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/08f81b20-f435-4db1-8570-051e3b8f2bd4.jpg"" /></p><p>Solana bucked the trend, with its $9.5 million in inflows taking the top spot over the past week. </p>"
Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today,"Mon, 07 Aug 2023 21:44:57 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-06/78d78761-3bd2-4569-96a7-62a97f0a1b0a.jpg"" /></p><p>Need to know what happened in crypto today? Here is the latest news on daily trends and events impacting the Bitcoin price, blockchain, DeFi, NFTs, Web3 and crypto regulation.</p>"
"Price analysis 8/7: SPX, DXY, BTC, ETH, BNB, XRP, ADA, DOGE, SOL, LTC",https://cointelegraph.com/news/price-analysis-8-7-spx-dxy-btc-eth-bnb-xrp-ada-doge-sol-ltc,"Mon, 07 Aug 2023 21:32:10 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/df1e4825-4496-4a20-88e6-63b0dfdd1ec6.jpg"" /></p><p>Bitcoin’s failure to rebound off strong support may open further downside, as bears may be tempted to sell. </p>"
Buffett and Ackman take opposing sides on Treasury yields — What does it mean for Bitcoin?,https://cointelegraph.com/news/buffett-and-ackman-take-opposing-sides-on-treasury-yields-what-does-it-mean-for-bitcoin,"Mon, 07 Aug 2023 18:30:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/d8e45c6e-2ab0-487b-a969-5ba214d24e58.jpg"" /></p><p>Two investment moguls are betting on different directions for inflation and Treasury yields, with potentially negative impacts on Bitcoin.</p>"
