title,link,published,summary
BTC hodlers outperformed crypto funds by 69% in H1: 21e6 Capital,https://cointelegraph.com/news/btc-hodlers-outperformed-crypto-funds-by-69-in-h1-2023-21e6-capital-ag,"Sat, 05 Aug 2023 06:39:27 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/8fe09870-62ea-4c7e-98a3-c169caa103f2.jpg"" /></p><p>According to 21e6 Capital AG, crypto funds generally outperformed the price gains of BTC in previous bull runs, but they ultimately suffered this year from having too much cash on hand and playing it safe. </p>"
Here’s what happened in crypto today,https://cointelegraph.com/news/what-happened-in-crypto-today,"Fri, 04 Aug 2023 21:13:35 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-06/78d78761-3bd2-4569-96a7-62a97f0a1b0a.jpg"" /></p><p>Need to know what happened in crypto today? Here is the latest news on daily trends and events impacting the Bitcoin price, blockchain, DeFi, NFTs, Web3 and crypto regulation.</p>"
"Price analysis 8/4: BTC, ETH, BNB, XRP, DOGE, ADA, SOL, MATIC, LTC, DOT",https://cointelegraph.com/news/price-analysis-8-4-btc-eth-bnb-xrp-doge-ada-sol-matic-ltc-dot,"Fri, 04 Aug 2023 20:17:17 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/43395301-ee77-4a22-b96f-e708896525f8.jpg"" /></p><p>Bitcoin continues to range trade, and altcoin traders are starting to view BTC’s price consolidation as a positive sign for the rest of the crypto market. </p>"
Germany is dragging Europe’s economy down — and that’s great for crypto,https://cointelegraph.com/news/germany-is-dragging-europe-economy-down-great-for-crypto,"Fri, 04 Aug 2023 18:00:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/2f92ef48-1b40-47ed-b387-b80de8c7e82d.jpg"" /></p><p>Cointelegraph analyst and writer Marcel Pechman explains how a weakening German economy — Europe’s largest — is a positive for cryptocurrencies. </p>"
Bitcoin price taps $29.3K as data shows ‘most resilient’ US jobs market,https://cointelegraph.com/news/bitcoin-price-293-data-resilient-us-jobs-market,"Fri, 04 Aug 2023 15:21:19 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/fda55fc0-7723-44c6-9c10-eeebda3bd23e.jpg"" /></p><p>Bitcoin offers slight volatility after fresh U.S. macro data, but BTC price behavior remains firmly rangebound.</p>"
Girl Gone Crypto thinks ‘BREAKING’ crypto news tweets are boring: Hall of Flame,https://cointelegraph.com/magazine/girl-gone-crypto-thinks-breaking-crypto-news-tweets-are-boring-hall-of-flame/,"Fri, 04 Aug 2023 14:30:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://cointelegraph.com/magazine/wp-content/uploads/2023/08/Crypto-Twitter-Hall-of-Flame-Girl-Gone-Crypto-scaled.jpg"" /></p><p>Girl Gone Crypto has amassed a huge following on Twitter thanks to her interesting and unique take on crypto news.</p>"
Oman financial regulator seeks feedback on proposed virtual asset framework,https://cointelegraph.com/news/oman-financial-regulator-seeks-feedback-on-proposed-virtual-asset-framework,"Fri, 04 Aug 2023 12:59:24 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/ed7566c2-324e-4caf-8deb-4fcc2dd3e35f.jpg"" /></p><p>Although the proposed virtual asset regulatory framework in Oman covers FATF-defined assets, the issuance of privacy coins might get banned.</p>"
Revolut to suspend cryptocurrency services in US,https://cointelegraph.com/news/crypto-revolut-to-suspend-cryptocurrency-services-in-us,"Fri, 04 Aug 2023 12:44:35 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/c07bf0c5-30ac-400d-8164-4ab862c0ec29.jpg"" /></p><p>Revolut’s suspension of cryptocurrency services in the United States will affect 1% of their total global user base, the firm said.</p>"
"Canadian crypto ownership declines amid tight regulations, falling prices",https://cointelegraph.com/news/bitcoin-canada-bitcoin-crypto-ownership-decline-2022-central-bank,"Fri, 04 Aug 2023 09:32:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/1bb41ca6-fceb-4c15-a981-c9a6ef54dadc.jpg"" /></p><p>The biggest motivation for Canadians interested in Bitcoin is as an investment, according to over one-third of the 4,996 respondents in the Bank of Canada’s 2022 survey. </p>"
BTC price upside ‘yet to come’ at $29K after Bitcoin RSI reset — Trader,https://cointelegraph.com/news/btc-price-29k-bitcoin-rsi-analysis-trader,"Fri, 04 Aug 2023 09:10:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/4d297495-414e-418c-b86a-9a91719d96ed.jpg"" /></p><p>Bitcoin is still preparing for a BTC price “parabolic advance,” with a popular metric laying the foundations, says Credible Crypto.</p>"
Bitcoin miners need BTC price over $98K by the halving — Analysis,https://cointelegraph.com/news/bitcoin-miners-btc-price-98k-halving,"Fri, 04 Aug 2023 08:25:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-07/277c56cb-0a65-4396-a906-cea5125f3175.jpg"" /></p><p>To avoid being in the red, publicly-listed Bitcoin mining companies will need the BTC price to be at least $98,000 by the 2024 halving.</p>"
‘Is this a Bitcoin ad?’ Joe Biden unknowingly touts BTC in coffee mug video,https://cointelegraph.com/news/joe-biden-bitcoin-coffee-mug-video,"Fri, 04 Aug 2023 06:42:01 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/0155c2d0-c3ed-4780-baba-8510838c7aca.jpg"" /></p><p>Crypto enthusiasts have lauded Joe Biden’s latest social media post for its so-called accidental endorsement of Bitcoin.</p>"
Block posts 34% increase in Bitcoin revenue in Q2 but shares stumble,https://cointelegraph.com/news/block-q2-results-cash-app-bitcoin,"Fri, 04 Aug 2023 01:21:46 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/9be56d80-bc71-469c-8070-599d8486f9bd.jpg"" /></p><p>Bitcoin profits on Block’s Cash App dropped slightly from the first quarter of 2023 but remain up 7% from this time last year. </p>"
"Coinbase beats Q2 estimates amid BlackRock custody deal, institutional focus",https://cointelegraph.com/news/coinbase-q2-profits-blackrock-custody-institution,"Thu, 03 Aug 2023 21:34:55 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/f70cf6a0-8500-4e8c-930c-855700506257.jpg"" /></p><p>The crypto exchange’s second-quarter revenue beat estimates, while non-trading revenue surpassed trading revenue.</p>"
Could a Bitcoin bull run be triggered by Fitch’s US credit rating downgrade?,https://cointelegraph.com/news/could-a-bitcoin-bull-run-be-triggered-by-fitch-s-us-credit-rating-downgrade,"Thu, 03 Aug 2023 20:05:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/c56c6743-ad9c-41bc-a65d-a85efd5cfd6a.jpg"" /></p><p>Fitch downgraded the U.S. credit rating due to its government debt and potential challenges in handling its fiscal responsibilities. Will Bitcoin’s price benefit from this decision? </p>"
"How will Bitcoin halving affect BTC price, and is DeFi dead?",https://cointelegraph.com/news/how-will-bitcoin-halving-affect-btc-price-and-is-defi-dead,"Thu, 03 Aug 2023 19:00:00 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/edb5dfca-0866-4d21-996b-ebc06c9959e4.jpg"" /></p><p>Blockware Solutions account executive David Gamble told Market Talks host Ray Salmond that the crypto market will hit a $10 trillion market cap in the next few years. </p>"
BTC price risks new sub-$29K dip as Binance fears test Bitcoin bulls,https://cointelegraph.com/news/btc-price-risks-binance-fears-bitcoin-bulls,"Thu, 03 Aug 2023 15:40:49 +0100","<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img src=""https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=840/https://s3.cointelegraph.com/uploads/2023-08/a67979c8-4673-4850-a496-9e717c892b35.jpg"" /></p><p>Bitcoin is not done with short-term BTC price downside, analysis predicts, with overall volatility still among its lowest-ever levels.</p>"
